ticker,company_name,sector,quantity,buy_price,current_price
QYKW,MetroHomes Estates,Real Estate,86,330.87,346.89
DHTE,PixelSystems Labs,Technology,19,41.77,69.38
YTPU,VoltEnergy Services,Utilities,100,341.83,416.47
BYMG,StreamMedia Broadcast,Communication,40,334.36,402.89
XMTW,FunFashion Retail,Consumer Discretionary,17,430.62,372.36
QCXG,HomeFoods Brands,Consumer Staples,110,152.42,230.22
HEUG,GridUtilities Energy,Energy,47,44.28,43.96
EVAJ,FinFinancial Holdings,Financials,104,301.46,340.83
FDXA,GenLabs Labs,Healthcare,107,279.3,267.86
JBEZ,SteelIndustries Systems,Industrials,27,399.19,435.94
QMSU,AssureRe Insurance,Insurance,65,377.92,468.15
XSKQ,ChemPackaging Films,Materials,115,126.34,108.97
NPXD,PropProperties Properties,Real Estate,113,499.32,443.38
EJVW,LogicDevices Dynamics,Technology,13,55.28,71.61
SKQS,CurrentNetworks Services,Utilities,81,202.83,243.35
TZGP,SignalBroadcast Com,Communication,117,400.69,511.9
NPZD,FunRetail Fashion,Consumer Discretionary,63,182.69,228.89
CCCC,HomeBrands Essentials,Consumer Staples,65,339.25,341.65
BUTT,PetroEnergy Renewables,Energy,76,409.65,472.56
ZBKV,TrustBank Securities,Financials,116,189.73,176.05
EXRH,BioSciences Pharma,Healthcare,32,297.4,244.34
PTVV,BuildSystems Tools,Industrials,108,196.43,215.8
YJAF,SecureRe Insurance,Insurance,89,312.32,264.08
NCEZ,PaperMaterials Materials,Materials,89,188.49,211.45
NPQL,PropProperties Properties,Real Estate,32,378.13,442.77
BEFV,DataWorks Works,Technology,15,366.37,410.01
RVQP,PowerGrid Services,Utilities,59,232.69,197.84
URSX,NetMedia Digital,Communication,91,74.63,70.68
BAGK,TravelMotors Retail,Consumer Discretionary,81,209.73,239.64
FENT,DailyGoods Essentials,Consumer Staples,60,158.93,196.11
MCNZ,GridPower Utilities,Energy,90,288.19,352.89
UNYW,FinSecurities Bank,Financials,59,240.68,293.07
FVQY,PharmaSciences Pharma,Healthcare,46,214.42,247.29
CNKZ,HeavyIndustries Corp,Industrials,72,425.35,463.66
SWDS,GuardAssurance Life,Insurance,14,393.98,519.97
HDEJ,MetalMining Materials,Materials,23,188.53,250.81
WCFW,PrimeEstates Homes,Real Estate,102,93.38,94.57
WWVL,LogicDynamics Innovations,Technology,77,384.74,266.27
QWKJ,AquaServices Utility,Utilities,65,231.09,279.39
MKCW,SignalCom Networks,Communication,12,263.52,265.33
UTZB,AutoNext Next,Consumer Discretionary,64,263.39,332.75
QDLY,PureStores Goods,Consumer Staples,12,174.33,170.54
QQSS,EnerUtilities Power,Energy,95,38.79,42.5
XVBW,MoneyHoldings Partners,Financials,48,198.97,207.35
XNKJ,LifeSciences Pharma,Healthcare,76,178.25,224.7
KWYX,IndusTools Works,Industrials,49,180.01,178.88
KTNW,AssureAssurance Re,Insurance,15,360.24,371.27
MKFG,PaperMining Films,Materials,7,64.86,63.38
ECKD,MetroDevelopers Estates,Real Estate,22,128.74,114.8
FFYV,TechDevices Works,Technology,24,440.67,397.04
ZHQV,WaterEnergy Grid,Utilities,91,217.21,198.97
GMXU,NetBroadcast Media,Communication,65,276.33,265.42
SPFG,FunFashion Leisure,Consumer Discretionary,69,393.5,544.9
YSDK,BasicGoods Essentials,Consumer Staples,18,45.05,40.9
EPCH,EnerPower Renewables,Energy,70,235.67,259.49
HNCM,UnionSecurities Partners,Financials,52,466.63,431.34
YWLE,MediPharma Sciences,Healthcare,112,466.8,547.17
YRQV,SteelIndustries Systems,Industrials,102,460.35,343.23
ETZV,SafeInsurance Insurance,Insurance,111,142.84,162.62
PWVQ,MetalPackaging Chemicals,Materials,35,392.56,426.76
WSUH,UrbanProperties Developers,Real Estate,7,306.43,358.98
XXCS,DataWorks Dynamics,Technology,28,20.75,19.49
STAN,GasGrid Networks,Utilities,105,281.16,356.2
CMHZ,BroadCom Broadcast,Communication,105,490.9,529.81
EBMT,SportMotors Next,Consumer Discretionary,47,372.89,414.86
CYQB,HomeGoods Brands,Consumer Staples,22,490.79,474.52
BLKS,HydroPower Energy,Energy,118,399.73,437.85
BWLJ,CreditFinancial Securities,Financials,50,141.59,153.26
QNLF,HealthSciences Health,Healthcare,100,446.95,430.32
PCPV,MachineCorp Systems,Industrials,98,463.67,351.86
LXKK,ShieldRe Life,Insurance,15,174.18,181.31
